,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
68,69,Naafiri,"28,583",1.96:1,41.78%,0.13%,1.13%,161.84,"11,991"
69,70,Neeko,"23,848",2.57:1,46.5%,0.11%,1.79%,166.55,"11,359"
70,71,Singed,"23,573",2.38:1,45.91%,0.11%,0.3%,175.95,"11,321"
71,72,Yone,"15,717",1.68:1,40.56%,0.07%,14.45%,182.05,"11,666"
72,73,Nautilus,"14,210",2.42:1,41.48%,0.06%,16.15%,134.76,"9,967"
73,74,Camille,"13,656",2.17:1,43.96%,0.06%,6.17%,155.15,"11,668"
74,75,Quinn,"13,179",2.03:1,44.43%,0.06%,1.08%,163.6,"12,261"
75,76,Riven,"11,731",1.87:1,39.31%,0.05%,0.96%,163.41,"11,162"
76,77,Urgot,"10,691",2.19:1,44.99%,0.05%,1.81%,182.12,"12,157"
77,78,Yasuo,"10,086",1.43:1,35.54%,0.05%,24.59%,182.99,"11,409"
78,79,Taric,"10,056",2.83:1,49.71%,0.04%,0.27%,137.04,"9,921"
79,80,Aatrox,"9,720",1.95:1,42.64%,0.04%,10.56%,167.09,"11,359"
80,81,Vayne,"9,616",1.84:1,42.95%,0.04%,11.45%,169.83,"12,002"
81,82,Twisted Fate,"8,883",1.84:1,38.95%,0.04%,1.9%,168.09,"12,159"
82,83,Tristana,"7,398",1.91:1,39.01%,0.03%,3.94%,180.41,"12,467"
83,84,Kai'Sa,"7,227",2.16:1,41.98%,0.03%,1.65%,186.95,"12,622"
84,85,Malzahar,"7,057",1.91:1,39.76%,0.03%,7.58%,181.92,"11,206"
85,86,Zeri,"6,835",2.23:1,43.51%,0.03%,1.13%,201.93,"12,981"
86,87,Aurelion Sol,"6,826",2.12:1,42.06%,0.03%,6.09%,179.32,"12,128"
87,88,Fizz,"6,264",1.95:1,37.96%,0.03%,10.06%,145.39,"11,468"
88,89,Tahm Kench,"5,896",2.28:1,43.28%,0.03%,2.01%,134.56,"10,541"
89,90,Ornn,"5,370",2.37:1,42.57%,0.02%,0.52%,153.47,"10,549"
90,91,Rell,"5,086",2.57:1,39.42%,0.02%,1.03%,117.08,"9,318"
91,92,Kayle,"5,024",2:1,43.61%,0.02%,1.86%,198.32,"11,914"
92,93,Ezreal,"4,982",1.84:1,32.1%,0.02%,3.73%,162.07,"10,813"
93,94,Galio,"4,697",2.14:1,38.02%,0.02%,1.28%,146.65,"10,524"
94,95,Yuumi,"3,970",1.95:1,12.19%,0.02%,3.33%,39.46,"5,740"
95,96,Blitzcrank,"3,615",1.65:1,28.69%,0.02%,30.91%,107.46,"8,881"
96,97,Leona,"3,577",2.21:1,40.12%,0.02%,6.47%,124.08,"9,794"
97,98,Heimerdinger,"3,408",1.66:1,40.02%,0.02%,1.7%,157.55,"10,803"
98,99,Akshan,"3,319",1.86:1,38.2%,0.01%,6.89%,152.24,"11,787"
99,100,Pyke,"3,149",1.88:1,34.58%,0.01%,16.26%,115.91,"10,559"
100,101,Jayce,"3,075",2.14:1,41.46%,0.01%,1.9%,177,"12,144"
101,102,Ashe,"2,854",1.76:1,32.13%,0.01%,6.78%,146.95,"10,200"
102,103,Renekton,"2,845",1.76:1,39.02%,0.01%,3.28%,172.34,"11,271"
103,104,Corki,"2,786",1.89:1,36.32%,0.01%,3.74%,183.62,"12,111"
104,105,Jhin,"2,651",2.25:1,35.53%,0.01%,7.45%,164.73,"11,367"
105,106,Katarina,"2,508",1.8:1,34.25%,0.01%,7.24%,152.57,"11,406"
106,107,Jinx,"2,420",1.92:1,32.81%,0.01%,16.38%,159.06,"10,494"
107,108,Lux,"2,328",2.16:1,29.04%,0.01%,13.95%,118.93,"9,154"
108,109,Draven,"2,118",1.69:1,34.56%,0.01%,20.2%,175.3,"12,931"
109,110,Caitlyn,"2,114",1.64:1,26.11%,0.01%,20.05%,140.92,"9,558"
110,111,Alistar,"2,040",1.99:1,32.65%,0.01%,1.29%,109.04,"8,889"
111,112,Irelia,"2,032",1.45:1,31.4%,0.01%,11.11%,167.46,"10,607"
112,113,Ryze,"1,932",2.09:1,40.58%,0.01%,0.24%,185.33,"11,636"
113,114,Lucian,"1,871",1.85:1,33.03%,0.01%,4.94%,174.25,"11,304"
114,115,K'Sante,"1,845",1.51:1,32.14%,0.01%,2.25%,145.92,"9,763"
115,116,Kled,"1,738",2.27:1,44.71%,0.01%,0.83%,153.11,"11,408"
116,117,Akali,"1,452",1.63:1,31.75%,0.01%,19.64%,131.94,"10,233"
117,118,Thresh,"1,412",1.67:1,28.47%,0.01%,4.54%,124,"9,298"
118,119,Kog'Maw,"1,376",1.8:1,40.19%,0.01%,1.6%,180.69,"12,388"
119,120,Gnar,"1,342",1.74:1,39.27%,0.01%,0.46%,163.31,"11,213"
120,121,Senna,"1,342",2.13:1,28.91%,0.01%,3.39%,78.35,"8,242"
121,122,Swain,"1,316",1.98:1,36.02%,0.01%,1.86%,132.64,"10,071"
122,123,Soraka,"1,297",1.74:1,20.35%,0.01%,1.26%,89.92,"7,457"
