,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
68,69,Anivia,"8,541",2.72:1,47.93%,0.04%,1.34%,175.84,"12,016"
69,70,Malphite,"8,476",2.31:1,45.08%,0.04%,10.05%,138.96,"11,327"
70,71,Viktor,"8,030",2.38:1,50.62%,0.04%,0.98%,188.41,"12,422"
71,72,Jayce,"8,023",2.13:1,46.87%,0.04%,1.9%,186.03,"12,852"
72,73,Rengar,"7,686",1.87:1,48.06%,0.03%,2.58%,159.67,"12,284"
73,74,Pyke,"7,508",2.11:1,38.87%,0.03%,16.26%,78.98,"8,864"
74,75,Graves,"7,463",2.06:1,45.4%,0.03%,2.3%,192.27,"12,685"
75,76,Garen,"7,419",2.21:1,48.24%,0.03%,4.73%,194.53,"13,184"
76,77,Ekko,"7,417",2.25:1,48.19%,0.03%,1.89%,154.84,"11,729"
77,78,Vex,"6,999",2.32:1,49.44%,0.03%,4.04%,164.31,"11,947"
78,79,Nasus,"6,723",1.98:1,46.23%,0.03%,4.16%,179.82,"12,098"
79,80,Fizz,"6,492",2.39:1,50.17%,0.03%,10.06%,154.83,"12,951"
80,81,Jax,"6,431",1.91:1,48%,0.03%,10.19%,163.2,"12,523"
81,82,Azir,"6,209",1.71:1,39.07%,0.03%,0.65%,166.8,"10,404"
82,83,Lee Sin,"6,171",2.13:1,45.07%,0.03%,13.71%,151.44,"12,590"
83,84,Kennen,"5,982",2.28:1,46.52%,0.03%,0.95%,168.93,"12,226"
84,85,Gangplank,"5,906",2.14:1,43.46%,0.03%,1.31%,193.7,"13,951"
85,86,Orianna,"5,727",2.58:1,45.35%,0.03%,0.77%,176.75,"11,494"
86,87,Master Yi,"5,721",1.73:1,40.08%,0.03%,16.06%,122.12,"10,537"
87,88,Aatrox,"5,677",2.16:1,49.8%,0.03%,10.56%,182.56,"13,128"
88,89,Trundle,"5,621",1.63:1,45.97%,0.03%,4.07%,176.77,"12,599"
89,90,Volibear,"5,366",1.88:1,46.14%,0.02%,4.35%,164.98,"12,225"
90,91,Annie,"5,356",2.27:1,47.7%,0.02%,0.72%,152.76,"11,472"
91,92,Renekton,"5,267",2.24:1,48.4%,0.02%,3.28%,186.97,"12,824"
92,93,Rumble,"5,196",2.24:1,45.84%,0.02%,2.35%,161.53,"11,694"
93,94,LeBlanc,"5,187",2.57:1,43.98%,0.02%,8.68%,148.23,"11,531"
94,95,Thresh,"5,012",1.86:1,34.44%,0.02%,4.54%,135.53,"10,352"
95,96,Ryze,"4,879",2.28:1,50.46%,0.02%,0.24%,211.13,"13,448"
96,97,Urgot,"4,544",2.15:1,48.66%,0.02%,1.81%,183.19,"12,996"
97,98,Zoe,"4,475",2.45:1,47.06%,0.02%,0.84%,143.45,"11,456"
98,99,Yorick,"4,387",1.97:1,48.73%,0.02%,6.06%,209.46,"13,288"
99,100,Shaco,"4,342",1.8:1,33.9%,0.02%,32.52%,70.68,"7,516"
100,101,Xin Zhao,"4,318",1.98:1,47.29%,0.02%,1.27%,142.95,"11,450"
101,102,Singed,"4,191",2.18:1,45.96%,0.02%,0.3%,158.8,"10,912"
102,103,Lissandra,"4,182",2.12:1,43.76%,0.02%,1.06%,166.86,"10,979"
