,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
69,70,Kai'Sa,"87,722",2.12:1,46.81%,0.39%,1.65%,194.56,"12,844"
70,71,Cho'Gath,"86,246",2.37:1,50.27%,0.39%,0.7%,182.27,"11,877"
71,72,Varus,"72,710",1.94:1,46.33%,0.33%,1.15%,181.62,"12,333"
72,73,Twitch,"72,305",2.2:1,49.24%,0.32%,7.74%,161.45,"12,477"
73,74,Seraphine,"69,972",2.9:1,49.49%,0.31%,1.46%,166.6,"10,648"
74,75,Aatrox,"69,162",2.04:1,51.62%,0.31%,10.56%,179.65,"11,870"
75,76,Sion,"68,871",1.35:1,50.16%,0.31%,1.08%,213.58,"12,951"
76,77,Jhin,"66,001",2.45:1,50.46%,0.3%,7.45%,187.53,"12,741"
77,78,Quinn,"65,159",2.15:1,51.81%,0.29%,1.08%,167.84,"12,233"
78,79,Darius,"65,011",2.01:1,52.12%,0.29%,22.76%,178.39,"11,941"
79,80,Karthus,"63,238",2.21:1,49.85%,0.28%,16.06%,199.7,"12,915"
80,81,Kog'Maw,"58,924",2.15:1,50.52%,0.26%,1.6%,186.54,"12,098"
81,82,Riven,"56,100",2.11:1,51.46%,0.25%,0.96%,178.94,"12,031"
82,83,Shen,"54,740",3.36:1,52.59%,0.24%,0.45%,145.8,"10,703"
83,84,Zyra,"54,380",2.2:1,48.75%,0.24%,7.36%,163.23,"10,699"
84,85,Yorick,"54,243",1.93:1,52.28%,0.24%,6.06%,216.1,"13,048"
85,86,Jax,"50,923",1.81:1,51.32%,0.23%,10.19%,170.05,"11,884"
86,87,Miss Fortune,"49,163",1.99:1,46.29%,0.22%,3.72%,179.14,"12,169"
87,88,Graves,"49,097",1.94:1,48.87%,0.22%,2.3%,208.66,"13,045"
88,89,Lee Sin,"46,072",2.01:1,46.03%,0.21%,13.71%,161.03,"12,069"
89,90,Ashe,"44,161",2.08:1,48.74%,0.2%,6.78%,163.49,"11,091"
90,91,Volibear,"40,950",1.82:1,52.98%,0.18%,4.35%,172.38,"11,780"
91,92,Zac,"40,621",2.97:1,53.35%,0.18%,2.79%,159.9,"11,252"
92,93,Zilean,"39,086",3.39:1,51.81%,0.17%,0.46%,163.64,"10,000"
93,94,Nunu & Willump,"37,010",2.48:1,47.54%,0.17%,0.44%,132.32,"10,548"
94,95,Gwen,"36,480",1.78:1,50.28%,0.16%,1.65%,180.66,"11,689"
95,96,Pyke,"35,961",2.4:1,46.29%,0.16%,16.26%,105.06,"10,260"
96,97,Singed,"33,298",2.14:1,49.69%,0.15%,0.3%,166.97,"10,222"
97,98,Xin Zhao,"33,021",1.88:1,50.23%,0.15%,1.27%,168.74,"12,362"
98,99,Kled,"32,756",2.51:1,55%,0.15%,0.83%,170.08,"12,608"
99,100,Jinx,"32,542",1.88:1,46.93%,0.15%,16.38%,171.97,"10,857"
100,101,Wukong,"32,517",2.25:1,52.59%,0.15%,0.38%,169.71,"12,347"
101,102,Illaoi,"32,438",1.57:1,52.02%,0.15%,13.33%,191.4,"12,237"
102,103,Camille,"30,059",2.16:1,52.77%,0.13%,6.17%,171.1,"12,232"
103,104,K'Sante,"29,993",1.95:1,45.15%,0.13%,2.25%,181.77,"11,084"
104,105,Trundle,"28,886",1.52:1,51.1%,0.13%,4.07%,188.79,"12,385"
105,106,Fiddlesticks,"28,206",2.31:1,53.23%,0.13%,1.16%,144.25,"10,868"
106,107,Urgot,"27,913",2.18:1,52.34%,0.12%,1.81%,185.18,"12,331"
107,108,Samira,"27,434",1.68:1,45.02%,0.12%,20.69%,165.72,"11,505"
108,109,Fiora,"26,222",1.69:1,51.29%,0.12%,5.51%,184.64,"12,026"
109,110,Draven,"24,405",1.71:1,47.06%,0.11%,20.19%,191.63,"13,704"
110,111,Tahm Kench,"24,320",2.73:1,53.65%,0.11%,2.01%,146.43,"11,084"
111,112,Briar,"23,302",1.84:1,51.7%,0.1%,12.62%,154.58,"12,660"
112,113,Vi,"22,831",1.91:1,48.76%,0.1%,1.78%,173.77,"12,604"
113,114,Dr. Mundo,"21,234",2.09:1,51.61%,0.09%,3.22%,189.64,"11,846"
114,115,Senna,"19,183",2.25:1,42.09%,0.09%,3.39%,118.14,"9,432"
115,116,Warwick,"18,591",2.05:1,53.41%,0.08%,4.46%,162.26,"11,777"
116,117,Gnar,"18,214",1.99:1,47.31%,0.08%,0.46%,164.91,"10,702"
117,118,Kalista,"18,063",1.78:1,47.31%,0.08%,1.24%,183.86,"12,211"
118,119,Master Yi,"17,695",1.68:1,46.66%,0.08%,16.06%,157.65,"12,091"
119,120,Zeri,"17,394",1.94:1,43.81%,0.08%,1.13%,195.51,"11,953"
120,121,Ornn,"17,100",2.56:1,50.33%,0.08%,0.52%,170.76,"10,711"
121,122,Aphelios,"15,138",1.58:1,46.43%,0.07%,1.1%,182.29,"11,715"
122,123,Skarner,"14,815",2.34:1,50.73%,0.07%,24.13%,155.69,"10,420"
123,124,Nocturne,"14,527",2.09:1,49.09%,0.06%,8.48%,180.77,"12,422"
124,125,Sivir,"14,278",1.91:1,44.42%,0.06%,0.54%,208.29,"11,832"
125,126,Shyvana,"14,152",2.05:1,50.99%,0.06%,0.45%,196,"12,626"
126,127,Jarvan IV,"14,127",2.61:1,50.17%,0.06%,0.83%,169.06,"12,380"
127,128,Shaco,"13,040",2.08:1,44.86%,0.06%,32.52%,119.83,"9,765"
128,129,Olaf,"12,604",1.87:1,51.32%,0.06%,1.61%,179.27,"12,089"
129,130,Lillia,"11,920",2.09:1,49.4%,0.05%,5.41%,162.75,"11,019"
130,131,Nidalee,"11,612",2.33:1,46%,0.05%,2.37%,143.28,"11,194"
131,132,Nautilus,"10,221",2.25:1,43.44%,0.05%,16.15%,132.61,"9,226"
132,133,Lulu,"9,842",2.68:1,42.56%,0.04%,4.57%,119.41,"8,632"
133,134,Sejuani,"9,415",2.4:1,48.58%,0.04%,0.4%,167.05,"11,111"
134,135,Poppy,"8,204",2.36:1,50.4%,0.04%,2.11%,150.46,"10,540"
135,136,Nilah,"7,603",1.61:1,45.85%,0.03%,3.39%,162.59,"10,698"
136,137,Udyr,"7,562",1.89:1,49.15%,0.03%,1.06%,179.77,"11,336"
137,138,Rammus,"7,329",1.76:1,47.96%,0.03%,8.14%,138.44,"9,508"
138,139,Rengar,"7,221",1.81:1,48.08%,0.03%,2.58%,152.08,"10,421"
139,140,Soraka,"6,771",2.74:1,39.58%,0.03%,1.26%,110.14,"8,044"
140,141,Xayah,"6,546",1.74:1,46.27%,0.03%,0.54%,183.56,"11,359"
141,142,Kayn,"6,128",1.72:1,46.56%,0.03%,5.9%,169.9,"11,948"
142,143,Alistar,"5,827",2.16:1,42.18%,0.03%,1.29%,113.31,"9,314"
143,144,Kindred,"5,609",1.87:1,47.25%,0.03%,1.9%,168.21,"12,003"
144,145,Thresh,"5,372",1.8:1,35.35%,0.02%,4.54%,114.83,"8,806"
145,146,Elise,"4,839",2.11:1,48.32%,0.02%,0.7%,142.73,"11,490"
146,147,Rakan,"4,712",2.77:1,47.67%,0.02%,0.89%,130.63,"9,943"
147,148,Blitzcrank,"4,629",1.87:1,33.55%,0.02%,30.91%,78.32,"7,590"
148,149,Bel'Veth,"4,612",1.96:1,49.61%,0.02%,5.01%,171.1,"11,732"
149,150,Yuumi,"4,383",1.79:1,15.72%,0.02%,3.33%,34.61,"4,598"
150,151,Maokai,"4,123",2.25:1,47.59%,0.02%,0.87%,134.96,"9,282"
151,152,Ivern,"4,007",2.78:1,48.54%,0.02%,0.45%,125.53,"9,328"
152,153,Rek'Sai,"3,536",2.31:1,50.23%,0.02%,2.37%,151.77,"11,674"
153,154,Sona,"3,342",2.27:1,34.59%,0.01%,0.21%,81.77,"7,277"
154,155,Nami,"3,211",1.93:1,25.91%,0.01%,0.74%,39.27,"4,291"
155,156,Janna,"3,127",2.45:1,38.7%,0.01%,2.14%,104.08,"8,017"
156,157,Bard,"2,885",2.01:1,33.03%,0.01%,0.33%,90.34,"7,709"
157,158,Amumu,"2,716",1.74:1,40.39%,0.01%,1.95%,125.58,"9,558"
158,159,Evelynn,"2,473",2.23:1,43.71%,0.01%,5.36%,104.01,"10,374"
159,160,Kha'Zix,"2,468",1.95:1,41.29%,0.01%,3.25%,156.33,"11,600"
160,161,Leona,"2,000",1.81:1,35.4%,0.01%,6.47%,76.96,"7,026"
161,162,Milio,"1,470",2.37:1,29.25%,0.01%,2.08%,68.27,"5,346"
