user_ID,user_ID_tag,result_value,game_time,our_team,our_team_object,our_team_total_kill,our_team_total_gold,enemy_team,enemy_team_object,enemy_team_total_kill,enemy_team_total_gold,game_players
Znlm,#KR1,1,2095,"[[0, 'Irelia', 'Teleport', 'Flash', 11, 5, 10, 34404, 34928, 3, 333], [1, 'Graves', 'Smite', 'Flash', 10, 4, 7, 19571, 27201, 6, 244], [2, 'Taliyah', 'Flash', 'Teleport', 7, 3, 13, 24139, 21098, 8, 290], [3, 'Ashe', 'Heal', 'Flash', 6, 5, 16, 25298, 23035, 4, 302], [4, 'Renata Glasc', 'Ignite', 'Flash', 1, 6, 22, 7162, 16364, 15, 23]]","[1, 3, 1, 1, 6, 1]",35,74562,"[[0, 'Jax', 'Flash', 'Teleport', 3, 12, 5, 24828, 36195, 6, 277], [1, 'Brand', 'Smite', 'Flash', 5, 6, 8, 16333, 33068, 14, 219], [2, 'Tristana', 'Flash', 'Teleport', 9, 3, 6, 20562, 24391, 4, 358], [3, 'Jinx', 'Flash', 'Cleanse', 5, 8, 6, 22410, 22496, 0, 264], [4, 'Nautilus', 'Ignite', 'Flash', 1, 6, 14, 9204, 23019, 22, 40]]","[1, 2, 0, 5, 6, 1]",23,68475,"['Aileri', 'Znlm', 'Lye', 'NekoL', '로스트체리', '지금을살아가다', '타 잔', '티 모', 'Archer', 'DRX']"
Znlm,#KR1,0,1831,"[[0, 'Quinn', 'Ignite', 'Flash', 13, 9, 8, 34354, 29458, 2, 218], [1, 'Brand', 'Smite', 'Flash', 5, 7, 11, 20360, 37685, 5, 210], [2, 'Twisted Fate', 'Flash', 'Ghost', 7, 10, 8, 23329, 32275, 1, 209], [3, 'Jhin', 'Heal', 'Flash', 8, 11, 7, 17103, 27643, 2, 210], [4, 'Skarner', 'Flash', 'Ignite', 3, 8, 12, 10864, 30410, 15, 35]]","[0, 1, 0, 6, 4, 0]",36,64768,"[[0, 'Nasus', 'Ghost', 'Teleport', 5, 7, 13, 19091, 36175, 5, 212], [1, 'Talon', 'Flash', 'Smite', 16, 7, 5, 28318, 40824, 4, 247], [2, 'Ziggs', 'Flash', 'Teleport', 5, 9, 15, 32084, 24119, 3, 194], [3, 'Ashe', 'Cleanse', 'Flash', 11, 7, 16, 34322, 22506, 2, 255], [4, 'Pyke', 'Ignite', 'Flash', 8, 6, 12, 11388, 22656, 17, 38]]","[1, 4, 1, 0, 10, 2]",45,73007,"['멍장학', 'Znlm', 'ngu ngon', 'スパークル', 'mxx', '시비걸면지상렬', '전상득', 'BTS', 'NekoL', 'DRX']"
Znlm,#KR1,1,2453,"[[0, 'Aatrox', 'Teleport', 'Flash', 3, 8, 9, 10868, 51300, 5, 234], [1, 'Graves', 'Smite', 'Flash', 17, 3, 13, 41899, 39398, 6, 343], [2, 'Twisted Fate', 'Flash', 'Teleport', 4, 7, 23, 22585, 35620, 10, 241], [3, 'Nilah', 'Cleanse', 'Flash', 7, 5, 16, 20168, 39369, 1, 336], [4, 'Senna', 'Heal', 'Flash', 6, 4, 30, 42204, 28271, 8, 43]]","[2, 3, 0, 3, 9, 2]",37,87146,"[[0, 'Skarner', 'Flash', 'Teleport', 6, 5, 5, 33016, 35445, 4, 239], [1, 'Rengar', 'Smite', 'Flash', 12, 8, 9, 37302, 44196, 4, 318], [2, 'Aurelion Sol', 'Flash', 'Teleport', 5, 5, 10, 43585, 31271, 5, 345], [3, 'Varus', 'Heal', 'Flash', 4, 8, 7, 30791, 19664, 0, 274], [4, 'Galio', 'Ignite', 'Flash', 0, 11, 12, 12521, 36527, 14, 64]]","[1, 3, 1, 3, 5, 0]",27,78352,"['rsdrger', 'Znlm', 'ren wo hang', 'Goldie', 'jkjkjkjkk', 'blue', 'i no hope', '한알한알달', '내성장막아봐', '이름을 외다']"
Znlm,#KR1,1,1730,"[[0, 'Twisted Fate', 'Ghost', 'Flash', 7, 7, 16, 28616, 23522, 4, 214], [1, 'Graves', 'Smite', 'Flash', 18, 7, 5, 31975, 28226, 5, 209], [2, 'Sylas', 'Flash', 'Teleport', 4, 7, 15, 16438, 28676, 15, 157], [3, 'Varus', 'Flash', 'Cleanse', 4, 2, 11, 21026, 12180, 4, 251], [4, 'Rell', 'Flash', 'Ignite', 0, 7, 21, 7194, 22640, 13, 30]]","[1, 2, 1, 2, 8, 1]",33,63370,"[[0, 'Skarner', 'Flash', 'Teleport', 0, 7, 7, 14200, 31379, 2, 140], [1, 'Lee Sin', 'Flash', 'Smite', 12, 8, 5, 18805, 40439, 4, 160], [2, 'LeBlanc', 'Teleport', 'Flash', 8, 6, 12, 32100, 23276, 1, 221], [3, 'Ashe', 'Flash', 'Cleanse', 3, 4, 7, 14899, 16622, 2, 251], [4, 'Pyke', 'Flash', 'Ignite', 7, 8, 8, 13669, 21543, 16, 42]]","[1, 2, 0, 4, 6, 0]",30,59501,"['tiantianfankun', 'Znlm', 'bgzydyrz', 'yab', '永安王蕭楚河', 'ratel1', '三妖精SAY YA', 'i kid', 'bbj', '농심라면다내꺼야']"
Znlm,#KR1,1,954,"[[0, 'Riven', 'Flash', 'Teleport', 1, 0, 1, 1872, 4823, 0, 130], [1, 'Brand', 'Smite', 'Flash', 3, 0, 4, 3974, 9755, 2, 112], [2, 'Twisted Fate', 'Flash', 'Ghost', 1, 0, 4, 3084, 5019, 1, 119], [3, 'Corki', 'Flash', 'Barrier', 11, 1, 4, 14296, 6457, 2, 134], [4, 'Poppy', 'Ignite', 'Flash', 1, 3, 8, 4502, 6468, 5, 18]]","[0, 2, 0, 3, 6, 0]",17,37113,"[[0, 'Rumble', 'Teleport', 'Flash', 0, 1, 0, 5026, 4619, 2, 141], [1, 'Rengar', 'Flash', 'Smite', 1, 4, 1, 2059, 17222, 0, 109], [2, 'Yasuo', 'Teleport', 'Flash', 0, 4, 1, 2416, 6556, 0, 104], [3, 'Aphelios', 'Flash', 'Cleanse', 3, 5, 1, 7027, 9769, 0, 78], [4, 'Rakan', 'Flash', 'Ignite', 0, 3, 2, 2414, 4833, 3, 21]]","[0, 0, 0, 3, 0, 0]",4,23581,"['AloisNL', 'Znlm', 'qwkow', 'apeoal', '알 리', 'Morgan', 'Douyin Xszking', 'Jiahai', 'daoxinwengu1', 'ui67']"
Znlm,#KR1,1,929,"[[0, 'Jax', 'Teleport', 'Flash', 1, 1, 1, 3546, 9738, 0, 85], [1, 'Graves', 'Smite', 'Flash', 4, 2, 9, 10273, 12055, 2, 94], [2, 'Ahri', 'Teleport', 'Flash', 8, 2, 4, 14268, 10392, 4, 125], [3, 'Draven', 'Flash', 'Cleanse', 5, 5, 4, 7203, 10040, 2, 98], [4, 'Skarner', 'Ignite', 'Flash', 1, 6, 14, 7637, 12916, 5, 16]]","[0, 1, 0, 1, 0, 0]",19,32568,"[[0, 'Kennen', 'Teleport', 'Flash', 2, 2, 0, 13275, 8931, 3, 143], [1, 'Lee Sin', 'Smite', 'Flash', 2, 4, 4, 4924, 15513, 4, 76], [2, 'Lissandra', 'Flash', 'Teleport', 2, 3, 3, 7056, 10035, 2, 106], [3, 'Lucian', 'Flash', 'Barrier', 6, 7, 4, 13047, 11370, 0, 83], [4, 'Braum', 'Heal', 'Flash', 4, 3, 7, 3949, 10152, 5, 16]]","[0, 0, 0, 2, 1, 0]",16,29935,"['Mei Nagano', 'Znlm', '만찬가', 'apeoal', 'Minous', '상욱Ryu', 'ssming', 'Pokeman', 'wwwwaaac', '로스트체리']"
Znlm,#KR1,0,709,"[[0, 'Camille', 'Teleport', 'Flash', 0, 1, 0, 5225, 6685, 0, 86], [1, 'Olaf', 'Smite', 'Flash', 0, 4, 0, 2062, 12125, 2, 64], [2, 'Tristana', 'Teleport', 'Flash', 0, 2, 0, 3279, 6235, 1, 109], [3, 'Aurelion Sol', 'Teleport', 'Flash', 0, 0, 0, 1411, 2369, 0, 72], [4, 'Seraphine', 'Heal', 'Flash', 0, 1, 0, 1396, 3608, 1, 15]]","[0, 0, 0, 1, 0, 0]",0,16965,"[[0, 'Renekton', 'Teleport', 'Flash', 1, 0, 1, 4875, 6524, 0, 109], [1, 'Talon', 'Flash', 'Smite', 5, 0, 1, 4039, 8780, 1, 79], [2, 'Taliyah', 'Teleport', 'Flash', 1, 0, 1, 5192, 2564, 1, 119], [3, 'Jinx', 'Flash', 'Heal', 0, 0, 2, 4293, 3542, 0, 107], [4, 'Rell', 'Ignite', 'Flash', 1, 0, 5, 2824, 3261, 1, 10]]","[0, 1, 0, 2, 0, 0]",8,22538,"['우진수', 'Znlm', '4rr', 'SOLKING', '멍정힝', '막강주니', '전상득', '흐물텅', '화내지말자', '봄방학기간']"
Znlm,#KR1,1,2140,"[[0, ""K'Sante"", 'Ghost', 'Teleport', 9, 4, 10, 32373, 41508, 2, 266], [1, 'Graves', 'Smite', 'Flash', 13, 11, 10, 28960, 35369, 7, 227], [2, 'Ahri', 'Teleport', 'Flash', 4, 4, 17, 32560, 29444, 4, 245], [3, ""Kai'Sa"", 'Cleanse', 'Flash', 6, 6, 18, 38499, 25449, 1, 296], [4, 'Rakan', 'Flash', 'Ignite', 1, 6, 20, 7241, 29272, 12, 33]]","[0, 2, 0, 5, 9, 1]",33,73816,"[[0, 'Viego', 'Teleport', 'Flash', 14, 9, 6, 33542, 46717, 15, 265], [1, 'Brand', 'Smite', 'Flash', 3, 7, 12, 37289, 36222, 6, 254], [2, 'Urgot', 'Teleport', 'Flash', 5, 6, 5, 27327, 48196, 1, 246], [3, 'Draven', 'Flash', 'Cleanse', 8, 7, 8, 38489, 32731, 3, 293], [4, 'Renata Glasc', 'Ignite', 'Flash', 1, 4, 21, 10243, 18566, 17, 42]]","[2, 3, 1, 1, 7, 1]",31,74948,"['cosmos', 'Znlm', '북극여우', 'C9 Berserker', '2wj', 'Minit', '청포도육포', 'utg0t', '화내지말자', '새해복많이받으세요']"
Znlm,#KR1,0,1807,"[[0, 'Vladimir', 'Teleport', 'Flash', 2, 6, 1, 8224, 27878, 0, 229], [1, 'Graves', 'Smite', 'Flash', 7, 6, 10, 16672, 25929, 5, 205], [2, 'Hwei', 'Teleport', 'Flash', 8, 4, 8, 22604, 14734, 2, 247], [3, 'Sivir', 'Heal', 'Flash', 4, 6, 8, 16391, 17113, 0, 274], [4, 'Nautilus', 'Ignite', 'Flash', 1, 5, 16, 6719, 19362, 15, 30]]","[0, 2, 0, 2, 1, 0]",22,58332,"[[0, 'Kennen', 'Flash', 'Teleport', 7, 5, 3, 27879, 22660, 3, 262], [1, 'Viego', 'Smite', 'Flash', 4, 4, 8, 11246, 32241, 9, 203], [2, 'Orianna', 'Teleport', 'Flash', 5, 4, 12, 24826, 18880, 5, 263], [3, 'Corki', 'Barrier', 'Flash', 10, 3, 1, 21176, 20491, 1, 286], [4, 'Rell', 'Ignite', 'Flash', 1, 6, 15, 4242, 15642, 17, 21]]","[1, 3, 1, 4, 9, 2]",27,64389,"['rsdrger', 'Znlm', 'Bae Suzy', 'winable', '새해복많이받으세요', 'cosmos', 'SounDA', '8114149', 'milaoshucwo', '치지직 보는 청년']"
Znlm,#KR1,0,1212,"[[0, 'Jax', 'Teleport', 'Flash', 4, 5, 2, 9650, 19389, 0, 153], [1, 'Olaf', 'Smite', 'Flash', 1, 4, 6, 6783, 22554, 2, 118], [2, 'Vex', 'Teleport', 'Flash', 4, 5, 3, 12968, 13060, 2, 150], [3, 'Zeri', 'Barrier', 'Flash', 3, 4, 2, 10967, 12545, 0, 174], [4, 'Nautilus', 'Ignite', 'Flash', 1, 7, 8, 4542, 12564, 11, 21]]","[0, 1, 1, 6, 4, 0]",14,37081,"[[0, 'Jayce', 'Flash', 'Teleport', 3, 7, 3, 14888, 13245, 2, 179], [1, 'Viego', 'Smite', 'Flash', 5, 3, 15, 15896, 24124, 8, 129], [2, 'LeBlanc', 'Teleport', 'Flash', 5, 0, 7, 12909, 8269, 3, 184], [3, ""Kai'Sa"", 'Ghost', 'Flash', 11, 0, 4, 15271, 9257, 1, 192], [4, 'Rell', 'Flash', 'Ignite', 1, 4, 14, 4498, 10325, 8, 14]]","[0, 1, 0, 0, 4, 0]",25,44147,"['rsdrger', 'Znlm', 'HLE Loki', 'zx전투의신xz', '댕청잇', '닝 닝', 'Kimman', 'Daystar', '돼지야 많이 먹어', '재훈이의모함']"
