#,user_ID,user_ID_tag,result_value,ourteam_champions_with_spell,enemy_champions_with_spell,game_players
이 차가 식기전에,#KR1,1,"[['Rumble', 'Teleport', 'Flash'], ['Hecarim', 'Smite', 'Ghost'], ['LeBlanc', 'Teleport', 'Flash'], ['Aphelios', 'Cleanse', 'Flash'], ['Rell', 'Ignite', 'Flash']]","[[""K'Sante"", 'Teleport', 'Flash'], ['Viego', 'Flash', 'Smite'], ['Twisted Fate', 'Ghost', 'Flash'], [""Kai'Sa"", 'Cleanse', 'Flash'], ['Alistar', 'Flash', 'Ignite']]","['God Thunder', '이 차가 식기전에', 'daawaazx', '아브레', 'I am Winter', 'GEN Kiin', 'YONG2', '영 쟁', 'Taeyoon', 'Night Fury']"
NekoL,#0214,1,"[['Urgot', 'Teleport', 'Flash'], ['Zac', 'Smite', 'Flash'], ['Hwei', 'Flash', 'Teleport'], [""Kai'Sa"", 'Heal', 'Flash'], ['Camille', 'Flash', 'Ignite']]","[['Renekton', 'Teleport', 'Flash'], ['Rengar', 'Smite', 'Flash'], ['Azir', 'Teleport', 'Flash'], ['Zeri', 'Barrier', 'Flash'], ['Rakan', 'Flash', 'Ignite']]","['할게없다진짜', 'Zac', '미 드', 'NekoL', '재훈이의모함', '상욱Ryu', 'RiMuDaShu', 'Secret', 'LSB Diable', 'yolo']"
KDF Quantum,#KR12,0,"[['Rumble', 'Ignite', 'Flash'], ['Lee Sin', 'Smite', 'Flash'], ['Hwei', 'Flash', 'Teleport'], ['Varus', 'Heal', 'Flash'], ['Rell', 'Ignite', 'Flash']]","[['Nocturne', 'Teleport', 'Flash'], ['Taliyah', 'Flash', 'Smite'], ['Tristana', 'Flash', 'Teleport'], ['Jinx', 'Cleanse', 'Flash'], ['Blitzcrank', 'Ignite', 'Flash']]","['DRX 개구리', '杰 洛', 'ellpa', 'Be my brownie', 'KDF Quantum', '그브충이', '小哭包', '하남의 희망', 'Crack', 'DRX 베르']"
Minit,#0415,1,"[['Warwick', 'Exhaust', 'Flash'], ['Taliyah', 'Smite', 'Flash'], ['Tristana', 'Teleport', 'Flash'], ['Varus', 'Flash', 'Barrier'], ['Rakan', 'Ignite', 'Flash']]","[['Olaf', 'Flash', 'Teleport'], ['Pantheon', 'Flash', 'Smite'], ['Twisted Fate', 'Teleport', 'Flash'], ['Lucian', 'Cleanse', 'Flash'], ['Nami', 'Heal', 'Flash']]","['顺飞丶不可雕', 'ge li fei si', 'Minit', 'rahjy', 'tadijfolz1em', 'Tempus fugit', 'A3nh', '도천지', '양념뇽냥', 'KDF Quantum']"
2cc,#ccc,1,"[['Jax', 'Teleport', 'Flash'], ['Nidalee', 'Flash', 'Smite'], ['Tristana', 'Flash', 'Teleport'], ['Zeri', 'Flash', 'Heal'], ['Rakan', 'Ignite', 'Flash']]","[['Fiora', 'Teleport', 'Flash'], ['Graves', 'Smite', 'Flash'], ['Taliyah', 'Teleport', 'Flash'], ['Aphelios', 'Flash', 'Heal'], ['Bard', 'Ignite', 'Flash']]","['급할수록도라에몽', '개척자', '2cc', '매사에 침착하게', '光而不耀 静水流深', 'FIORAKING', 'yinii', 'rbwlsrbwls', 'Do it anyway', 'zi존파워봉식123']"
NS Callme,#KR1,1,"[['Rumble', 'Flash', 'Teleport'], ['Lee Sin', 'Smite', 'Flash'], ['Hwei', 'Flash', 'Teleport'], ['Smolder', 'Heal', 'Flash'], ['Poppy', 'Ignite', 'Flash']]","[['Skarner', 'Teleport', 'Flash'], ['Talon', 'Flash', 'Smite'], ['Syndra', 'Teleport', 'Flash'], ['Zeri', 'Flash', 'Cleanse'], ['Rakan', 'Ignite', 'Flash']]","['Mihile', 'Radiohead', 'NS Callme', 'DRX 민', 'Youngior', '라스무스 호일룬', 'riuo', 'foronlyfornone', 'DRX 현빈', 'DRX 베르']"
BLGqq2845921660,#BLG,0,"[['Tristana', 'Ignite', 'Flash'], ['Nidalee', 'Smite', 'Flash'], ['Graves', 'Flash', 'Teleport'], ['Jhin', 'Heal', 'Flash'], ['Nautilus', 'Flash', 'Ignite']]","[['Aatrox', 'Flash', 'Teleport'], ['Lee Sin', 'Smite', 'Flash'], ['Hwei', 'Flash', 'Teleport'], [""Kai'Sa"", 'Barrier', 'Flash'], ['Pyke', 'Ignite', 'Flash']]","['ucal', 'JustLikeThatKR', 'ice seven zero', 'BLGqq2845921660', '스팅 유클리프', 'NAAYIL', 'Radiohead', 'NS Callme', 'Ciabatta', 'KDF Quantum']"
Znlm,#KR1,1,"[['Irelia', 'Teleport', 'Flash'], ['Graves', 'Smite', 'Flash'], ['Brand', 'Flash', 'Teleport'], ['Zeri', 'Heal', 'Flash'], ['Rumble', 'Ignite', 'Flash']]","[[""Bel'Veth"", 'Teleport', 'Flash'], ['Viego', 'Flash', 'Smite'], ['Elise', 'Teleport', 'Flash'], ['Varus', 'Heal', 'Flash'], ['Camille', 'Ignite', 'Flash']]","['Aileri', 'Znlm', '세 이', '와쿠와쿠', 'lactea420', 'real gankster', 'DRX 스폰개', 'JustLikeThatKR', 'IGqq645935620', 'tadijfolz1em']"
Kimman,#zxfkk,0,"[['Jax', 'Teleport', 'Flash'], ['Lillia', 'Smite', 'Flash'], ['Qiyana', 'Flash', 'Teleport'], ['Sivir', 'Heal', 'Flash'], ['Rakan', 'Ignite', 'Flash']]","[['Renekton', 'Teleport', 'Flash'], ['Rengar', 'Smite', 'Ghost'], ['Katarina', 'Teleport', 'Flash'], ['Ashe', 'Cleanse', 'Flash'], ['Pyke', 'Ignite', 'Flash']]","['God Thunder', 'Kimman', 'baixiaochun', '우딱원정대', 'guadian', 'ww333', 'RiMuDaShu', '9996', 'Samver', '김정민']"
재훈이의모함,#KR2,0,"[['Twisted Fate', 'Flash', 'Ghost'], ['Viego', 'Smite', 'Flash'], ['Orianna', 'Teleport', 'Flash'], ['Caitlyn', 'Flash', 'Heal'], ['Zac', 'Flash', 'Ignite']]","[['Skarner', 'Flash', 'Teleport'], ['Brand', 'Smite', 'Flash'], ['Tristana', 'Flash', 'Teleport'], ['Jhin', 'Flash', 'Heal'], ['Nautilus', 'Ignite', 'Flash']]","['시비걸면지상렬', 'Rongbudai', 'i kid', 'BULL', '재훈이의모함', 'zcxsdasdas', 'No longer love', '흐아암', 'qweasdweasdqw', 'Ciabatta']"
